,Date,actual,ensemble,unilstm,multilstm
0,2018-07-08 00:00:00,14,16.711635924875736,49.03558798134327,29.950275514274836
1,2018-07-08 01:00:00,7,10.985438004136086,39.5620771497488,21.62358308210969
2,2018-07-08 02:00:00,13,10.189023725688457,37.903376910835505,17.49916549772024
3,2018-07-08 03:00:00,10,21.646744199097157,41.861900221556425,14.987610913813114
4,2018-07-08 04:00:00,6,10.984437055885792,53.089954666793346,22.78718026354909
5,2018-07-08 05:00:00,28,46.529229041188955,75.16435658559203,36.16079308092594
6,2018-07-08 06:00:00,78,83.86737460270524,117.09909901022911,50.24500176310539
7,2018-07-08 07:00:00,140,119.44304119795561,203.3085222542286,84.8982790671289
8,2018-07-08 08:00:00,293,219.16085958480835,372.5125293433666,170.15779726207256
9,2018-07-08 09:00:00,386,434.75916892290115,619.4770896434784,277.72982954978943
10,2018-07-08 10:00:00,497,512.3053334653378,829.6329647302628,379.75766107439995
11,2018-07-08 11:00:00,441,659.7914877533913,915.3786909580231,404.53358620405197
12,2018-07-08 12:00:00,481,695.0935497879982,919.7720488905907,387.505537122488
13,2018-07-08 13:00:00,432,621.4990876615047,882.8176173567772,352.7510866522789
14,2018-07-08 14:00:00,380,564.5357212424278,845.9497007727623,317.50177562236786
15,2018-07-08 15:00:00,331,589.0828110277653,863.3199709653854,314.0208697319031
16,2018-07-08 16:00:00,394,606.8746764957905,926.4152908325195,335.8532227575779
17,2018-07-08 17:00:00,439,717.5804197788239,930.8627206087112,352.9154898226261
18,2018-07-08 18:00:00,448,648.236830085516,790.1416143774986,338.0131658911705
19,2018-07-08 19:00:00,429,596.2490639090538,551.2407757341862,291.943666189909
20,2018-07-08 20:00:00,318,402.4164465069771,325.3225454688072,180.20645089447498
21,2018-07-08 21:00:00,135,213.20579536259174,172.99036730080843,92.97869179397821
22,2018-07-08 22:00:00,72,87.64152221381664,93.00796695053577,38.48503103479743
23,2018-07-08 23:00:00,23,48.9991307631135,58.68315029889345,19.760906100273132
